инструмент	актуальная_ссылка	запасная_копия	копий
acronis-disk-director-utility-tools	https://github.com/zizo1231313/acronis-disk-director-utility-tools	—	1
acs-lodes-bg-trends	https://github.com/FEEYZE/acs-lodes-bg-trends	—	1
act	https://github.com/Ayan9991/act	https://github.com/lilanders123/act	2
action-dependency-diff	https://github.com/AmaraMg2007/action-dependency-diff	—	1
actionscript-0mj	https://github.com/LGBullet23/actionscript-0mj	—	1
activerecord-health	https://github.com/Yugabharathi91/activerecord-health	—	1
activity-reporting-for-donors	https://github.com/nirajverma445/activity-reporting-for-donors	—	1
ad-astra	https://github.com/Hahbibiali/Ad-Astra	—	1
ada_lab-study_material	https://github.com/Sterslo/ADA_LAB-STUDY_MATERIAL	—	1
adapol	https://github.com/hitq11/AdaPol	—	1
adaptive_dataflow_system_for_financial_time_series_synthesis	https://github.com/qkoi/adaptive_dataflow_system_for_financial_time_series_synthesis	—	1
addernet	https://github.com/juliettaspecialistic335/AdderNet	—	1
addt	https://github.com/Pranavsiripangi/addt	—	1
ademnea-inventory	https://github.com/ademnea/AdEMNEA-inventory	—	1
adept_slim_frame	https://github.com/3boedy/adept_slim_frame	—	1
adguardian	https://github.com/wix56/adguardian	—	1
adhd-time-analyzer	https://github.com/Froozied/adhd-time-analyzer	—	1
adidasyadebiras228.github.io	https://github.com/adidasyadebiras228/adidasyadebiras228.github.io	—	1
adk-web	https://github.com/Flirnz/adk-web	—	1
adobe-lightroom-professional	https://github.com/pearltelluric497/Adobe-Lightroom-Professional	—	1
adobe-photoshop-version-2026	https://github.com/pavlovian-tilde769/Adobe-Photoshop-Version-2026	—	1
adobe-premiere-pro-version-2026	https://github.com/perennial-passionsunday689/Adobe-Premiere-Pro-Version-2026	—	1
adonisjs-react-starter-kit	https://github.com/hannx86/adonisjs-react-starter-kit	—	1
adopt-me-script	https://github.com/jazzman08/Adopt-Me-Script	—	1
adoptme-script-download	https://github.com/IBRAHIM832023/AdoptME-Script-Download	—	1
adoptmescript	https://github.com/ishu-276/adoptmescript	https://github.com/localdumbass2112/adoptmescript	2
adpl-kelompok-6.1-6.2	https://github.com/prasdionaditya/adpl-kelompok-6.1-6.2	—	1
adrenaline	https://github.com/arjun823/adrenaline	—	1
adri	https://github.com/Emmanuel135817/adri	—	1
adrian	https://github.com/Gratianahydrokinetic908/Adrian	—	1
adriannablo.github.io	https://github.com/AdrianNablo/AdrianNablo.github.io	—	1
adt313	https://github.com/ChristianJames1101/ADT313	—	1
advance-nlp-generative-ai	https://github.com/Alexreye/advance-nlp-generative-ai	—	1
advanced-ai-agents	https://github.com/Irsa070501/Advanced-AI-Agents	—	1
advanced-discord-music-bot	https://github.com/chantalmiriane19/advanced-discord-music-bot	—	1
advanced-excel-retail-sales-analysis	https://github.com/Oscine-mustercall181/Advanced-Excel-Retail-Sales-Analysis	—	1
advanced-machine-learning-personal-project	https://github.com/aufahuhs/Advanced-Machine-Learning-Personal-Project	—	1
advanced-pdf-document-utility	https://github.com/Hapos6102/Advanced-PDF-Document-Utility	—	1
advanced_graph_rag	https://github.com/sanitprime/Advanced_Graph_RAG	—	1
advay-portfolio-website	https://github.com/lowresolution-heavy482/Advay-Portfolio-Website	—	1
adventureworks-bi-analytics	https://github.com/Ironc00kie/adventureworks-bi-analytics	—	1
adversarial-attacks-vision-transformers-vit	https://github.com/git-yasaswi/Adversarial-Attacks-Vision-Transformers-ViT	—	1
advertiser-analytics-etl	https://github.com/wakwwi/advertiser-analytics-etl	—	1
advertising-skills	https://github.com/Noninflammatory-tunny848/advertising-skills	—	1
advision	https://github.com/Algeripithecusminutusmoonlight570/advision	—	1
ae	https://github.com/stewythegoat47/ae	—	1
ae-agent	https://github.com/smooth-snarl702/AE-agent	—	1
aegis	https://github.com/30nilupulthisaranga-bit/aegis	https://github.com/Chineseyamgrossprofit190/aegis	3
aegisflow	https://github.com/nocturnalemissionindecision559/aegisFlow	—	1
aegistrace-threat-intelligence	https://github.com/karthik-reddy6/aegistrace-threat-intelligence	—	1
aeo-god-mode	https://github.com/galvestonsyntax254/aeo-god-mode	—	1
aeon-radio-drama	https://github.com/Unsweetened-journalbox528/aeon-radio-drama	—	1
aero-nethunter	https://github.com/rxhn911/Aero-Nethunter	—	1
aeroveloz-v2	https://github.com/ahmedayoub1342009-lab/AeroVeloz-V2	—	1
aes67_macos_driver	https://github.com/binetsimonscaletourtiere90/AES67_macos_Driver	—	1
aether-vpn	https://github.com/kuoizong881681/aether-vpn	—	1
aetherdev	https://github.com/Ignazfeudatory487/aetherdev	—	1
aetherswap	https://github.com/Teliosporegenusasio343/AetherSwap	—	1
afa567.github.io	https://github.com/afa567/afa567.github.io	—	1
affiliate-skills	https://github.com/Gingg7260/affiliate-skills	—	1
afloat	https://github.com/Dire-Wolf-Space/Afloat	—	1
ag3nt	https://github.com/desy-design/AG3NT	—	1
ag402	https://github.com/Eniitanire/ag402	—	1
agahsh	https://github.com/xbox360modderv3/agahsh	—	1
agency-kit-site	https://github.com/Cayden77/agency-kit-site	—	1
agent	https://github.com/cocohig4830/Agent	—	1
agent-architect	https://github.com/Lluis5713/agent-architect	—	1
agent-audit	https://github.com/muhamedali7713/agent-audit	—	1
agent-ce	https://github.com/undomestic-georgebeadle691/agent-CE	—	1
agent-cli	https://github.com/fabiospergort/agent-cli	—	1
agent-commerce	https://github.com/AlexSilgidzhiyan/agent-commerce	—	1
agent-contracts	https://github.com/Pablo11111544545/agent-contracts	—	1
agent-engineer	https://github.com/thiennha1147/agent-engineer	—	1
agent-factory	https://github.com/cornhuskinghemophiliab653/agent-factory	—	1
agent-guardrails	https://github.com/GaBySuGy/agent-guardrails	—	1
agent-harness	https://github.com/Mukataatvstation480/agent-harness	https://github.com/vmy41/agent-harness	2
agent-kernel	https://github.com/carlososoriopulgar/agent-kernel	—	1
agent-memory	https://github.com/Defiladeboarfish90/agent-memory	—	1
agent-openai-assistant	https://github.com/Sakshiaroskar/agent-openai-assistant	—	1
agent-pathway	https://github.com/Stunning-navelorange917/Agent-Pathway	—	1
agent-quickstart	https://github.com/HubbaishRana/agent-quickstart	—	1
agent-reachout	https://github.com/EL-HAMDAOUI-Othmane/agent-reachout	—	1
agent-recall	https://github.com/Ilikek3310/agent-recall	—	1
agent-review	https://github.com/ridwan230598/agent-review	—	1
agent-runner	https://github.com/Unknown384-come/agent-runner	https://github.com/gungarp/agent-runner	2
agent-s	https://github.com/raraofficial/Agent-S	—	1
agent-search-cli	https://github.com/xw000113-create/agent-search-cli	—	1
agent-sessions	https://github.com/zenithpd/agent-sessions	—	1
agent-skill-git-checkpoint	https://github.com/CoDiGet/agent-skill-git-checkpoint	—	1
agent-skills	https://github.com/LLl0k0laD/agent-skills	https://github.com/Marshanda14816/agent-skills	3
agent-skills-cli	https://github.com/stbarbe/agent-skills-cli	—	1
agent-skills-discovery-rfc	https://github.com/zurats/agent-skills-discovery-rfc	—	1
agent-skills-guide	https://github.com/kaydenplayZ/agent-skills-guide	—	1
agent-skills-library	https://github.com/izyanrajwani/agent-skills-library	—	1
agent-skills-mcp	https://github.com/Wackodacko/agent-skills-mcp	—	1
agent-telegram-bot	https://github.com/Sidiral/agent-telegram-bot	—	1
agent-workspace	https://github.com/pandu1992/agent-workspace	—	1
agentclaw	https://github.com/sainiaman12789-sketch/AgentClaw	—	1
agente-admin-observabilidad	https://github.com/Adriano886/agente-admin-observabilidad	—	1
agentesvsc	https://github.com/erwinv2k-TKG/AgentesVSC	—	1
agentevolver	https://github.com/OussamaBNL1/AgentEvolver	—	1
agentforge-openclaw	https://github.com/xyreinsurance119/agentforge-openclaw	—	1
agentframe	https://github.com/MALIKNAVED/agentframe	—	1
agenthandover	https://github.com/Premenopausal-lagerstroemia264/AgentHandover	—	1
agenthub	https://github.com/cuteecarrot/AgentHub	—	1
agentic-ai	https://github.com/yigido41/agentic-ai	—	1
agentic-ai-project-find-deal-opportunities	https://github.com/stathis0074/Agentic-AI-Project-Find-Deal-Opportunities	—	1
agentic-ai-system-course	https://github.com/120th-westgermany829/agentic-ai-system-course	—	1
agentic-ai-trip-planner-crewai	https://github.com/DndMuzik/Agentic-AI-Trip-Planner-CrewAI	—	1
agentic-bi-natural-language-querying	https://github.com/Gamehut360/agentic-bi-natural-language-querying	—	1
agentic-chatops	https://github.com/stigmatatuxtlagutierrez417/agentic-chatops	—	1
agentic-commerce-protocol	https://github.com/Kermithermit/agentic-commerce-protocol	—	1
agentic-dart	https://github.com/Fauniethermal3522/agentic-dart	—	1
agentic-github-code-reviewer	https://github.com/Lookdawn1337/Agentic-GitHub-Code-Reviewer	—	1
agentic-kaggle-skill	https://github.com/Mirannonarbitrable290/agentic-kaggle-skill	—	1
agentic-mcp-skill	https://github.com/bioeu/Agentic-MCP-Skill	—	1
agentic-planet	https://github.com/Crosswise-overage824/agentic-planet	—	1
agentic-playdate	https://github.com/isopogamer109/agentic-playdate	—	1
agentic-rag-anime-recommender-system	https://github.com/drae1712/Agentic-RAG-Anime-Recommender-System	—	1
agentic-rag-for-practice	https://github.com/constancywoodsy286/agentic-rag-for-practice	—	1
agentic-reasoning-lab	https://github.com/honied-valerian411/agentic-reasoning-lab	—	1
agentify	https://github.com/harindukavishka/agentify	—	1
agentjson	https://github.com/mefedrxn/agentjson	—	1
agentmind	https://github.com/Ahmed-Mazh2r/AgentMind	—	1
agentops-hub	https://github.com/BiggerCap/agentops-hub	—	1
agentpanel	https://github.com/LuizDerkcz/AgentPanel	—	1
agentpg	https://github.com/yassineelfakiri/agentpg	—	1
agentprobe	https://github.com/hackneyblechnaceae288/agentprobe	—	1
agents	https://github.com/CeAlthubaiti/agents	https://github.com/pertamaxxx/agents	2
agents-control-tower	https://github.com/leo07/agents-control-tower	—	1
agentseed	https://github.com/Reithemadscientist/agentseed	—	1
agentskills-proxy	https://github.com/kazhuki7/agentskills-proxy	—	1
agentspaces	https://github.com/harshramg5007/agentspaces	—	1
agenttrace	https://github.com/umairb0/agenttrace	—	1
aggregodo	https://github.com/ashburgminion/Aggregodo	—	1
agi_her_se	https://github.com/youstt135/AGI_HER_SE	—	1
agorai_package	https://github.com/aweawdsdwaofr/agorai_package	—	1
agwasuri-v2	https://github.com/sweetpotatowhiteflyfloridagallinule681/agwasuri-v2	—	1
ah170-framework	https://github.com/belydan/AH170-Framework	—	1
ahmadshahid12.github.io	https://github.com/AhmadShahid12/ahmadshahid12.github.io	—	1
ahmed7409.github.io	https://github.com/ahmed7409/ahmed7409.github.io	—	1
ahr999-dataset	https://github.com/shitless-secretor385/ahr999-dataset	—	1
ai-agent-book	https://github.com/Gg44183/ai-agent-book	—	1
ai-agent-evolution	https://github.com/saeedsq3r/AI-Agent-evolution	—	1
ai-agent-landscape	https://github.com/gatherfigtree740/ai-agent-landscape	—	1
ai-agent-security-hardening	https://github.com/runemdown/ai-agent-security-hardening	—	1
ai-agent-team	https://github.com/Gothgirl0/ai-agent-team	—	1
ai-agents	https://github.com/Cenozoic-garterstitch153/AI-Agents	—	1
ai-answer-synthesizer	https://github.com/abi71111/Ai-Answer-Synthesizer	—	1
ai-app-with-auth-demo	https://github.com/sandeepai1561/ai-app-with-auth-demo	—	1
ai-assert	https://github.com/MyK-Exee/ai-assert	—	1
ai-assessment-framework	https://github.com/theGamingPro824/ai-assessment-framework	—	1
ai-assistant-excel	https://github.com/GBran88/AI-Assistant-Excel	—	1
ai-assisted-insights-agent	https://github.com/Riohari07/ai-assisted-insights-agent	—	1
ai-audio-content-creator	https://github.com/Porkchopautochthon314/AI-Audio-Content-Creator	—	1
ai-automation-python-intelligent-pipeline	https://github.com/eng-44as/ai-automation-python-intelligent-pipeline	—	1
ai-based_stock_analysis_and_portfolio_optimisation	https://github.com/cheese23456/AI-Based_Stock_Analysis_and_Portfolio_Optimisation	—	1
ai-bastion	https://github.com/JohnField07/AI-Bastion	—	1
ai-browser-tutorial	https://github.com/martinez9388/ai-browser-tutorial	—	1
ai-chat	https://github.com/lbrown177/ai-chat	—	1
ai-chatbot	https://github.com/MihirLathigara012/AI-Chatbot	https://github.com/nooksandcrannieslgb937/ai-chatbot	2
ai-chatbot-svelte	https://github.com/Uragon005/ai-chatbot-svelte	https://github.com/syklon99/ai-chatbot-svelte	2
ai-cmd-x	https://github.com/MaverickRow/Ai-CMD-X	—	1
ai-code-context-helper	https://github.com/ahmedsamy-244/ai-code-context-helper	—	1
ai-coding-kit	https://github.com/xonigashi/ai-coding-kit	—	1
ai-coding-principles	https://github.com/satbirbhbc-ux/ai-coding-principles	—	1
ai-compliance-false-assurance	https://github.com/tyvo4221/ai-compliance-false-assurance	—	1
ai-config-search-guide	https://github.com/willz1/ai-config-search-guide	—	1
ai-content-api	https://github.com/WizzyPluto2/ai-content-api	—	1
ai-context-kit	https://github.com/leejah/ai-context-kit	—	1
ai-context-vault	https://github.com/codingwithgokul/ai-context-vault	—	1
ai-craft	https://github.com/R-cloud-git/ai-craft	—	1
ai-cyber-range	https://github.com/WHAZAZA/AI-cyber-range	—	1
ai-day-trade-analytics-groq-aws	https://github.com/TheFlavvz/ai-day-trade-analytics-groq-aws	—	1
ai-design2test	https://github.com/Campaignhatsecretin185/ai-design2test	https://github.com/Visionshudra144/ai-design2test	2
ai-dev-assistant-framework	https://github.com/MunnaXbadmash/ai-dev-assistant-framework	—	1
ai-dev-tools-hub	https://github.com/SowaXx/ai-dev-tools-hub	—	1
ai-digest	https://github.com/el-joker-f/AI-digest	—	1
ai-document-generation	https://github.com/firda0802/Ai-Document-Generation	—	1
ai-driven-cms-governance	https://github.com/heracross1412/ai-driven-cms-governance	—	1
ai-driven-real-estate-staging-designers-virtual-home-staging-tool	https://github.com/athif2105/AI-Driven-Real-Estate-Staging-Designers-Virtual-Home-Staging-Tool	—	1
ai-drug-discovery-slides	https://github.com/canela0208/ai-drug-discovery-slides	—	1
ai-engineer-in-90-days	https://github.com/decided-indication109/AI-Engineer-in-90-Days	—	1
ai-engineer-interview-questions	https://github.com/gyf45/ai-engineer-interview-questions	—	1
ai-engineer-vault	https://github.com/trenchant-rogaine315/ai-engineer-vault	—	1
ai-engineering-from-scratch	https://github.com/Rubonal4649/ai-engineering-from-scratch	—	1
ai-etl-anomaly-detection	https://github.com/JallinskyLuca/ai-etl-anomaly-detection	—	1
ai-eval	https://github.com/4xxpray/ai-eval	—	1
ai-excalidraw	https://github.com/ramacuy/ai-excalidraw	—	1
ai-face-detector	https://github.com/Exogenous-sodom867/ai-face-detector	—	1
ai-fastapi-mlops	https://github.com/Behera-babu/ai-fastapi-mlops	—	1
ai-ffmpeg-cli	https://github.com/Indraparama940/ai-ffmpeg-cli	—	1
ai-finance-trading-agent	https://github.com/SecretResell/ai-finance-trading-agent	—	1
ai-gaming-strategy-coach-chatbot	https://github.com/salah15cl/ai-gaming-strategy-coach-chatbot	—	1
ai-gesture-christmas-tree	https://github.com/AmyneDev/Ai-Gesture-Christmas-Tree	—	1
ai-goofish	https://github.com/chaitanya-327/ai-goofish	—	1
ai-graph	https://github.com/khanhvipro01/ai-graph	—	1
ai-growth-stack	https://github.com/magdytarek11/ai-growth-stack	—	1
ai-human-collaboration-protocol	https://github.com/bolufagbulu/AI-Human-Collaboration-Protocol	—	1
ai-image-detector	https://github.com/Thewostpro/ai-image-detector	—	1
ai-image-edit	https://github.com/kingwee2e3/ai-image-edit	—	1
ai-image-generator	https://github.com/huizuohaode/AI-Image-Generator	—	1
ai-indexing	https://github.com/Carlosagamez2021/AI-Indexing	—	1
ai-inference-resources	https://github.com/kontolkambings/ai-inference-resources	—	1
ai-infra-index	https://github.com/DarkSliceYT/ai-infra-index	—	1
ai-interview-simulator	https://github.com/Resourceless-greatwhiteheron884/AI-interview-simulator	—	1
ai-investment-knowledge-base	https://github.com/eddamenace467/ai-investment-knowledge-base	—	1
ai-invoice-ocr-engine	https://github.com/Mato989086/AI-INVOICE-OCR-ENGINE	—	1
ai-invoice-system	https://github.com/Juanvil9941/AI-Invoice-System	—	1
ai-junior-data_scientist	https://github.com/Maranh0/ai-junior-data_scientist	—	1
ai-kline	https://github.com/chirag145/AI-Kline	—	1
ai-landing-page-workflow	https://github.com/Wiry-glitch668/ai-landing-page-workflow	—	1
ai-lego-pinball-bot	https://github.com/DraksSounds/AI-LEGO-Pinball-Bot	—	1
ai-link-building-software	https://github.com/lm4084950-netizen/ai-link-building-software	—	1
ai-localbase	https://github.com/devicerosequartz768/ai-localbase	—	1
ai-market	https://github.com/vieta123456/ai-market	—	1
ai-media-studio-cli	https://github.com/boomking0808/ai-media-studio-cli	—	1
ai-meeting-companion-stt	https://github.com/Sameer125132/AI-Meeting-Companion-STT	—	1
ai-meme-trading-bot	https://github.com/mac2c12/ai-meme-trading-bot	—	1
ai-model	https://github.com/1set-t/ai-model	—	1
ai-model-comparison	https://github.com/bo3l4q/ai-model-comparison	—	1
ai-mysql-translator	https://github.com/Sershy8537/ai-mysql-translator	—	1
ai-neuroadvisor	https://github.com/Chandu0394/AI-NeuroAdvisor	—	1
ai-nocode-automation-suite	https://github.com/bodametwaly/AI-NoCode-Automation-Suite	—	1
ai-notes-generator	https://github.com/darkknightamkit/AI-NOTES-GENERATOR	—	1
ai-novel-editor	https://github.com/BHUIYAN17/Ai-Novel-Editor	—	1
ai-object-detection-app	https://github.com/Pikeln/AI-object-detection-app	—	1
ai-osint-security-analyzer	https://github.com/Armaan29-09-2005/AI-OSINT-Security-Analyzer	—	1
ai-outreach-automation-platform	https://github.com/lucky14426/ai-outreach-automation-platform	—	1
ai-paper-analyzer	https://github.com/christopherotim/ai-paper-analyzer	—	1
ai-papers-hub	https://github.com/clashroy5384/ai-papers-hub	—	1
ai-peer-review	https://github.com/Dreambear-cloud/ai-peer-review	—	1
ai-photo-editor	https://github.com/BILLISSSS/AI-Photo-Editor	—	1
ai-photo-restoration-remini-codeformer	https://github.com/Chelo6185/ai-photo-restoration-remini-codeformer	—	1
ai-powered-accident-detection-system	https://github.com/P-Karmakar/AI-powered-Accident-Detection-System	—	1
ai-powered-air-quality-command-center-with-syncfusion-wpf-chart	https://github.com/princeg2643/AI-Powered-Air-Quality-Command-Center-with-Syncfusion-WPF-Chart	—	1
ai-powered-churn-prediction	https://github.com/PoupouL2R2/AI-Powered-Churn-Prediction	—	1
ai-powered-legacy-protection-poc	https://github.com/Sneaky-Pablo/AI-Powered-Legacy-Protection-POC	—	1
ai-powered-research-assistant-using-langchain	https://github.com/Unlluckyyy/AI-Powered-Research-Assistant-using-Langchain	—	1
ai-powered-resume-analyzer	https://github.com/kokozaid785/AI-Powered-Resume-Analyzer	—	1
ai-powered-skin-facial-condition-diagnosis-mobile-application	https://github.com/GPTAile/AI-Powered-Skin-Facial-Condition-Diagnosis-Mobile-Application	—	1
ai-powered-ticket-routing-sla-breach-prediction-in-jira	https://github.com/Badrddin335/AI-Powered-Ticket-Routing-SLA-Breach-Prediction-in-JIRA	https://github.com/Bhin4787/AI-Powered-Ticket-Routing-SLA-Breach-Prediction-in-JIRA	2
ai-privacy-gateway	https://github.com/licit-approach897/ai-privacy-gateway	—	1
ai-product-from-scratch	https://github.com/aldhio1993/ai-product-from-scratch	—	1
ai-product-skills	https://github.com/amosshadowy76/ai-product-skills	—	1
ai-prompt-cheatsheet	https://github.com/exercisedeviceforester917/ai-prompt-cheatsheet	—	1
ai-proxy	https://github.com/houssinehn11/ai-proxy	—	1
ai-quotation-intelligence-microservice	https://github.com/alex11rom/ai-quotation-intelligence-microservice	—	1
ai-research-copilot	https://github.com/xxxsoekarno-lab/ai-research-copilot	—	1
ai-resume-analyzer	https://github.com/Ammarahmed12/ai-resume-analyzer	https://github.com/mskchaithanyaraj/ai-resume-analyzer	3
ai-resume-optimizer	https://github.com/jaeferxp/ai-resume-optimizer	—	1
ai-resume-parser	https://github.com/MRX-slayer/ai-resume-parser	—	1
ai-resume-screening	https://github.com/cuongmoitapcode/AI-Resume-Screening	—	1
ai-resume-screening-system	https://github.com/13ofbeaches/ai-resume-screening-system	—	1
ai-rfq-crm-orchestration-platform	https://github.com/AYMANDG523/ai-rfq-crm-orchestration-platform	—	1
ai-rotoscoping	https://github.com/Rvy7/ai-rotoscoping	—	1
